modelo,f1_micro,f1_macro,f1_weighted
KNeighbors,0.9615384615384616,0.9610256410256411,0.960828402366864
RandomForest,0.9615384615384616,0.9632850241545894,0.961984392419175
DecisionTree,0.8076923076923077,0.8132505175983438,0.8073578595317726
CategoricalNB,0.9230769230769231,0.9246031746031745,0.9230769230769231
